Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight (int); ContainerArea (int); Coverage (%);
9990302;1979260880;1989251182;10000;3319;68;225692;99;
8109416;1973706719;1981816135;10000;4933;46;226918;99;
10578547;1947777684;1958356231;10000;4345;52;225940;99;
7361961;1957065962;1964427923;10000;3320;68;225760;99;
10540227;1948801681;1959341908;10000;3759;60;225540;99;
10099338;1953059648;1963158986;10000;4179;54;225666;99;
10502696;1943898184;1954400880;10000;4525;50;226250;99;
10190597;1943638235;1953828832;10000;3642;62;225804;99;
10086697;1990924264;2001010961;10000;4346;52;225992;99;
9659635;1955972828;1965632463;10000;3761;60;225660;99;
10792670;1971306328;1982098998;10000;4933;46;226918;99;
7240677;1951811256;1959051933;10000;3764;60;225840;99;
10715633;1961735977;1972451610;10000;3895;58;225910;99;
9098254;1964929649;1974027903;10000;3053;74;225922;99;
11331928;1957402159;1968734087;10000;4698;48;225504;99;
7964824;1953702807;1961667631;10000;3759;60;225540;99;
10550103;1969151666;1979701769;10000;5125;44;225500;99;
7652331;1929934755;1937587086;10000;2356;96;226176;99;
10740917;1966908905;1977649822;10000;4528;50;226400;99;
7442948;1950788443;1958231391;10000;4178;54;225612;99;
10188226;1958416675;1968604901;10000;3641;62;225742;99;
7441763;1960025363;1967467126;10000;4179;54;225666;99;
10166894;1931798653;1941965547;10000;3133;72;225576;99;
7840380;1969524998;1977365378;10000;3640;62;225680;99;
10687584;1952205527;1962893111;10000;4043;56;226408;99;
7477714;1951760688;1959238402;10000;3319;68;225692;99;
10553659;1932425219;1942978878;10000;4177;54;225558;99;
7681170;1973519460;1981200630;10000;3227;70;225890;99;
10373116;1978426907;1988800023;10000;3231;70;226170;99;
9823585;1933086552;1942910137;10000;3760;60;225600;99;
10318597;1966317104;1976635701;10000;3543;64;226752;99;
9845314;1979248633;1989093947;10000;4935;46;227010;99;
8749415;1957045813;1965795228;10000;3761;60;225660;99;
9744574;1975907208;1985651782;10000;4345;52;225940;99;
7638503;1964319676;1971958179;10000;3760;60;225600;99;
10383387;1969477986;1979861373;10000;4346;52;225992;99;
7284529;1958040971;1965325500;10000;4698;48;225504;99;
9811339;1949690173;1959501512;10000;4698;48;225504;99;
7843540;1973869088;1981712628;10000;3893;58;225794;99;
10313461;1944318925;1954632386;10000;4347;52;226044;99;
9145266;1981323494;1990468760;10000;4701;48;225648;99;
9960672;1950197037;1960157709;10000;3319;68;225692;99;
10126597;1910765214;1920891811;10000;2092;108;225936;99;
7490356;1967245102;1974735458;10000;5371;42;225582;99;
10443831;1938069851;1948513682;10000;5126;44;225544;99;
7449269;1953663696;1961112965;10000;5648;40;225920;99;
10224967;1876514220;1886739187;10000;3430;66;226380;99;
7717911;1930717766;1938435677;10000;2981;76;226556;99;
11316126;1978268092;1989584218;10000;5650;40;226000;99;
7508528;1970240059;1977748587;10000;4345;52;225940;99;
10174794;1939661157;1949835951;10000;2093;108;226044;99;
9722845;1954259843;1963982688;10000;3895;58;225910;99;
11287286;1981778999;1993066285;10000;4178;54;225612;99;
10341511;1953645523;1963987034;10000;3320;68;225760;99;
7237517;1928021870;1935259387;10000;2902;78;226356;99;
9862697;1946042181;1955904878;10000;2900;78;226200;99;
7264381;2002058267;2009322648;10000;5125;44;225500;99;
10719979;1946785686;1957505665;10000;3430;66;226380;99;
7401072;1974594420;1981995492;10000;3897;58;226026;99;
10111980;1945394281;1955506261;10000;4530;50;226500;99;
9748919;1964117009;1973865928;10000;4347;52;226044;99;
9930647;1949824099;1959754746;10000;3319;68;225692;99;
10771337;1979119448;1989890785;10000;3317;68;225556;99;
7901219;1954889571;1962790790;10000;3540;64;226560;99;
10100523;1971877192;1981977715;10000;4177;54;225558;99;
9214402;1929585126;1938799528;10000;3761;60;225660;99;
7422405;1993027570;2000449975;10000;4701;48;225648;99;
10573807;1969525788;1980099595;10000;3895;58;225910;99;
9226648;1950603950;1959830598;10000;4700;48;225600;99;
10722350;1946497685;1957220035;10000;3761;60;225660;99;
10268425;1956617172;1966885597;10000;2756;82;225992;99;
10178350;1948457978;1958636328;10000;3429;66;226314;99;
10080770;1925957282;1936038052;10000;2306;98;225988;99;
10147140;1964389602;1974536742;10000;4698;48;225504;99;
10382992;1977127946;1987510938;10000;4697;48;225456;99;
9776573;1949388347;1959164920;10000;3644;62;225928;99;
7412528;1973357090;1980769618;10000;3640;62;225680;99;
10117511;1930562507;1940680018;10000;4702;48;225696;99;
7593862;1949208989;1956802851;10000;2823;80;225840;99;
10137264;1916315425;1926452689;10000;4935;46;227010;99;
8127194;1961985261;1970112455;10000;5369;42;225498;99;
10283832;1928614067;1938897899;10000;4700;48;225600;99;
7388035;1957082159;1964470194;10000;4346;52;225992;99;
10015980;1943280310;1953296290;10000;3762;60;225720;99;
10307535;1977886068;1988193603;10000;3639;62;225618;99;
10594744;1970511466;1981106210;10000;4699;48;225552;99;
10302004;1944090580;1954392584;10000;3429;66;226314;99;
7210653;1960051041;1967261694;10000;3051;74;225774;99;
10353757;1947938078;1958291835;10000;3542;64;226688;99;
7624281;1942459768;1950084049;10000;3228;70;225960;99;
10098943;1981757665;1991856608;10000;4347;52;226044;99;
7616380;1959730648;1967347028;10000;5369;42;225498;99;
10175189;1953973820;1964149009;10000;4043;56;226408;99;
10407485;1960040771;1970448256;10000;3430;66;226380;99;
18637791;1954450658;1973088449;10000;3762;60;225720;99;
9829906;1965152069;1974981975;10000;4699;48;225552;99;
7345368;1957299048;1964644416;10000;3639;62;225618;99;
8962353;1938483874;1947446227;10000;3897;58;226026;99;
7336282;1939676564;1947012846;10000;3759;60;225540;99;
9914055;1906596530;1916510585;10000;4698;48;225504;99;
8692131;1974524494;1983216625;10000;4529;50;226450;99;
10006104;1951094615;1961100719;10000;4042;56;226352;99;
7521170;1978099007;1985620177;10000;4178;54;225612;99;
10384572;1940523179;1950907751;10000;3542;64;226688;99;
9634747;1967362040;1976996787;10000;4935;46;227010;99;
10349016;1956319692;1966668708;10000;4042;56;226352;99;
9735092;1968981394;1978716486;10000;4347;52;226044;99;
7253319;1974676593;1981929912;10000;5124;44;225456;99;
10687189;1949265088;1959952277;10000;4700;48;225600;99;
7821416;1974770223;1982591639;10000;3896;58;225968;99;
9875339;1964501008;1974376347;10000;3050;74;225700;99;
7384874;1968948605;1976333479;10000;3317;68;225556;99;
9479883;1970092701;1979572584;10000;4699;48;225552;99;
9873364;1939918736;1949792100;10000;3428;66;226248;99;
7433072;1965387920;1972820992;10000;4697;48;225456;99;
10026252;1907381911;1917408163;10000;4346;52;225992;99;
7417270;1952798513;1960215783;10000;4700;48;225600;99;
11108719;1917090139;1928198858;10000;3054;74;225996;99;
9548623;1967153843;1976702466;10000;3318;68;225624;99;
10348227;2074137137;2084485364;10000;3897;58;226026;99;
9497265;2079703941;2089201206;10000;4697;48;225456;99;
10533510;1939707773;1950241283;10000;4526;50;226300;99;
8138255;1962602741;1970740996;10000;5368;42;225456;99;
10413017;1955339545;1965752562;10000;4177;54;225558;99;
7916627;1999956938;2007873565;10000;5125;44;225500;99;
10212326;1937278938;1947491264;10000;3048;74;225552;99;
7256085;1984472919;1991729004;10000;3894;58;225852;99;
10367584;1932625911;1942993495;10000;4177;54;225558;99;
7816281;1939561996;1947378277;10000;2630;86;226180;99;
10320968;1947167314;1957488282;10000;4177;54;225558;99;
7796923;1960403436;1968200359;10000;4528;50;226400;99;
10084325;1948256893;1958341218;10000;3900;58;226200;99;
7192480;1957831194;1965023674;10000;4697;48;225456;99;
9971338;1926897132;1936868470;10000;5369;42;225498;99;
7461121;1941094833;1948555954;10000;3051;74;225774;99;
11112669;1942105794;1953218463;10000;2757;82;226074;99;
7652331;1976273825;1983926156;10000;4174;54;225396;99;
10140029;1904334412;1914474441;10000;3543;64;226752;99;
7538948;1993090779;2000629727;10000;5124;44;225456;99;
10458448;1977664044;1988122492;10000;4346;52;225992;99;
7213418;1960439782;1967653200;10000;4345;52;225940;99;
10446992;1958166996;1968613988;10000;4527;50;226350;99;
7457171;1987767333;1995224504;10000;4346;52;225992;99;
10365214;1970680157;1981045371;10000;3897;58;226026;99;
7309022;1961408866;1968717888;10000;4700;48;225600;99;
10034153;1921192452;1931226605;10000;4043;56;226408;99;
7403047;1976830466;1984233513;10000;4040;56;226240;99;
9996227;1947527610;1957523837;10000;4698;48;225504;99;
9678598;1930312434;1939991032;10000;3544;64;226816;99;
10246301;1926903848;1937150149;10000;3642;62;225804;99;
9025562;1967112757;1976138319;10000;5123;44;225412;99;
10003733;1975259308;1985263041;10000;4344;52;225888;99;
9021217;1962791975;1971813192;10000;4697;48;225456;99;
10057462;1942172558;1952230020;10000;3542;64;226688;99;
7556726;1980084187;1987640913;10000;4043;56;226408;99;
10385362;2028815746;2039201108;10000;5126;44;225544;99;
7191294;1936896915;1944088209;10000;3543;64;226752;99;
9695191;1908571835;1918267026;10000;2689;84;225876;99;
7333122;1975095358;1982428480;10000;4042;56;226352;99;
10729460;1953191599;1963921059;10000;3319;68;225692;99;
7230801;1944556751;1951787552;10000;3761;60;225660;99;
10593559;1945728107;1956321666;10000;5367;42;225414;99;
7582405;1950517036;1958099441;10000;4040;56;226240;99;
9634351;1974950371;1984584722;10000;4526;50;226300;99;
7526306;1996150921;2003677227;10000;4528;50;226400;99;
10080375;1943002187;1953082562;10000;3760;60;225600;99;
8043836;1987524766;1995568602;10000;4934;46;226964;99;
10994152;2016597695;2027591847;10000;5930;38;225340;99;
7758997;1976077480;1983836477;10000;5125;44;225500;99;
10461609;1926915305;1937376914;10000;4044;56;226464;99;
7507343;1933737218;1941244561;10000;2823;80;225840;99;
9815289;1936951038;1946766327;10000;3134;72;225648;99;
9895092;1960545263;1970440355;10000;5125;44;225500;99;
10150696;1933438551;1943589247;10000;3320;68;225760;99;
9517019;1986448224;1995965243;10000;4525;50;226250;99;
9946844;1961099139;1971045983;10000;3640;62;225680;99;
11152175;1941696511;1952848686;10000;4039;56;226184;99;
10159783;1968061297;1978221080;10000;4525;50;226250;99;
7971540;1970996995;1978968535;10000;5128;44;225632;99;
10256573;1879304139;1889560712;10000;4699;48;225552;99;
7578849;1947799017;1955377866;10000;3139;72;226008;99;
10860225;1917125300;1927985525;10000;3758;60;225480;99;
7654701;1931746110;1939400811;10000;2355;96;226080;99;
10413807;1939363675;1949777482;10000;4176;54;225504;99;
7457960;1974436396;1981894356;10000;3133;72;225576;99;
10044030;1908729069;1918773099;10000;4697;48;225456;99;
7948231;1972824943;1980773174;10000;5126;44;225544;99;
10138054;1939847230;1949985284;10000;2570;88;226160;99;
7618751;1964928069;1972546820;10000;3319;68;225692;99;
10535881;1920555613;1931091494;10000;4345;52;225940;99;
7379739;1957255985;1964635724;10000;3639;62;225618;99;
10599880;1946757636;1957357516;10000;3053;74;225922;99;
8577563;1957054505;1965632068;10000;4698;48;225504;99;
9760375;1915934191;1925694566;10000;3896;58;225968;99;
7707244;1949509235;1957216479;10000;4180;54;225720;99;
10473856;2286101558;2296575414;10000;5125;44;225500;99;
7485614;1963269604;1970755218;10000;4696;48;225408;99;
10269215;1927812488;1938081703;10000;5125;44;225500;99;
8742699;1977299402;1986042101;10000;3895;58;225910;99;
10193758;2014506242;2024700000;10000;3760;60;225600;99;
9819634;1964388021;1974207655;10000;5367;42;225414;99;
9850450;1951388935;1961239385;10000;3542;64;226688;99;
9711783;1903664783;1913376566;10000;3138;72;225936;99;
7513664;1978400833;1985914497;10000;4697;48;225456;99;
9558894;2072946029;2082504923;10000;3542;64;226688;99;
8925612;2195036454;2203962066;10000;2823;80;225840;99;
14176367;2211118200;2225294567;10000;4176;54;225504;99;
10475831;2208460625;2218936456;10000;4040;56;226240;99;
14185058;2228511944;2242697002;10000;3050;74;225700;99;
13876515;2191848708;2205725223;10000;2901;78;226278;99;
13518195;2211773607;2225291802;10000;3542;64;226688;99;
14089849;2210343880;2224433729;10000;4933;46;226918;99;
8216477;2249866173;2258082650;10000;4344;52;225888;99;
12922444;2231668085;2244590529;10000;3637;62;225494;99;
13177258;2319098629;2332275887;10000;4348;52;226096;99;
10051140;2236231435;2246282575;10000;4933;46;226918;99;
12820518;2252492144;2265312662;10000;5936;38;225568;99;
12249260;2225699110;2237948370;10000;3897;58;226026;99;
11079879;2201542713;2212622592;10000;4527;50;226350;99;
14459625;2179369523;2193829148;10000;4700;48;225600;99;
10977954;2215058933;2226036887;10000;4175;54;225450;99;
13386640;2237087137;2250473777;10000;3897;58;226026;99;
11200373;2202490859;2213691232;10000;3427;66;226182;99;
13183183;2254140733;2267323916;10000;3895;58;225910;99;
9296574;2245983910;2255280484;10000;4529;50;226450;99;
12245309;2206793073;2219038382;10000;4178;54;225612;99;
11851038;2224516297;2236367335;10000;3897;58;226026;99;
10388127;2245267664;2255655791;10000;4937;46;227102;99;
13471973;2249495211;2262967184;10000;5126;44;225544;99;
12203433;2238994886;2251198319;10000;5126;44;225544;99;
8507637;2230168434;2238676071;10000;4044;56;226464;99;
12280469;2207738059;2220018528;10000;4043;56;226408;99;
8275737;2206214309;2214490046;10000;3641;62;225742;99;
12430987;2219984553;2232415540;10000;4527;50;226350;99;
10766596;2197567610;2208334206;10000;2901;78;226278;99;
25349876;2203299154;2228649030;10000;3430;66;226380;99;
10035734;2207415689;2217451423;10000;3642;62;225804;99;
11997211;2264187528;2276184739;10000;4700;48;225600;99;
11114645;2236880520;2247995165;10000;5935;38;225530;99;
13601158;2246746772;2260347930;10000;3897;58;226026;99;
11645607;2222565486;2234211093;10000;3640;62;225680;99;
10347042;2235155288;2245502330;10000;4181;54;225774;99;
17095868;2251500540;2268596408;10000;3897;58;226026;99;
8683045;2240314389;2248997434;10000;4527;50;226350;99;
15184168;2181037864;2196222032;10000;4180;54;225720;99;
10632670;2199457186;2210089856;10000;3318;68;225624;99;
13679776;2149868346;2163548122;10000;2690;84;225960;99;
9250352;2227938315;2237188667;10000;4699;48;225552;99;
12596913;2171877982;2184474895;10000;4696;48;225408;99;
11800471;2195548058;2207348529;10000;3643;62;225866;99;
12082149;2226914317;2238996466;10000;3228;70;225960;99;
13131826;2133045071;2146176897;10000;2509;90;225810;99;
11007188;2212772321;2223779509;10000;3762;60;225720;99;
12016174;2186484570;2198500744;10000;4041;56;226296;99;
10910794;2191590337;2202501131;10000;3760;60;225600;99;
12157605;2224120842;2236278447;10000;4043;56;226408;99;
12019729;2197907363;2209927092;10000;3638;62;225556;99;
12268618;2204223597;2216492215;10000;4700;48;225600;99;
9190302;2255950507;2265140809;10000;5365;42;225330;99;
13593653;2227553525;2241147178;10000;4525;50;226250;99;
13194641;2216453893;2229648534;10000;4697;48;225456;99;
11610841;2237123087;2248733928;10000;4177;54;225558;99;
13499628;2226921428;2240421056;10000;4046;56;226576;99;
10553263;2213760368;2224313631;10000;4176;54;225504;99;
12199087;2220841836;2233040923;10000;5649;40;225960;99;
10194153;2203002068;2213196221;10000;4043;56;226408;99;
13210048;2145914971;2159125019;10000;3637;62;225494;99;
10341510;2245104108;2255445618;10000;3638;62;225556;99;
13981997;2259480772;2273462769;10000;4527;50;226350;99;
12670395;2160055387;2172725782;10000;3540;64;226560;99;
8908229;2206172827;2215081056;10000;2756;82;225992;99;
12660123;2215011526;2227671649;10000;4525;50;226250;99;
8447983;2220607169;2229055152;10000;3638;62;225556;99;
13728763;2345344898;2359073661;10000;3134;72;225648;99;
12859629;2387251779;2400111408;10000;5124;44;225456;99;
13280369;2235893658;2249174027;10000;4935;46;227010;99;
11679977;2214267626;2225947603;10000;3320;68;225760;99;
10190202;2233503934;2243694136;10000;4526;50;226300;99;
13525701;2249208002;2262733703;10000;5122;44;225368;99;
10180326;2208554650;2218734976;10000;5369;42;225498;99;
14195725;2233885563;2248081288;10000;4936;46;227056;99;
11102003;2181016531;2192118534;10000;3895;58;225910;99;
10960966;2262739234;2273700200;10000;5125;44;225500;99;
11902396;2150863900;2162766296;10000;4177;54;225558;99;
8241762;2211045114;2219286876;10000;3429;66;226314;99;
16724115;2196731266;2213455381;10000;3895;58;225910;99;
13848466;2208244922;2222093388;10000;3318;68;225624;99;
12547135;2193259075;2205806210;10000;2761;82;226402;99;
11335089;2223305040;2234640129;10000;4346;52;225992;99;
16020117;2240974141;2256994258;10000;5369;42;225498;99;
13171728;2230017126;2243188854;10000;4698;48;225504;99;
12544370;2211692224;2224236594;10000;4345;52;225940;99;
13421010;2196207415;2209628425;10000;4694;48;225312;99;
12564913;2209448673;2222013586;10000;3228;70;225960;99;
9486994;2241775720;2251262714;10000;5124;44;225456;99;
11714742;2261702594;2273417336;10000;2307;98;226086;99;
12862790;2272533585;2285396375;10000;3318;68;225624;99;
10980719;2227042317;2238023036;10000;4696;48;225408;99;
12899135;2244368901;2257268036;10000;5653;40;226120;99;
12454692;2175609727;2188064419;10000;3639;62;225618;99;
8754155;2236937804;2245691959;10000;4178;54;225612;99;
12186840;2186724372;2198911212;10000;3640;62;225680;99;
9416277;2225722023;2235138300;10000;4699;48;225552;99;
12871876;2212165112;2225036988;10000;4345;52;225940;99;
11103188;2230710063;2241813251;10000;4934;46;226964;99;
13466838;2228791647;2242258485;10000;3637;62;225494;99;
12953259;2239117749;2252071008;10000;5367;42;225414;99;
9504377;2204973817;2214478194;10000;3641;62;225742;99;
12482345;2214694687;2227177032;10000;2632;86;226352;99;
13102592;2202200884;2215303476;10000;3897;58;226026;99;
13464863;2193987172;2207452035;10000;2261;100;226100;99;
15613204;2225216740;2240829944;10000;4699;48;225552;99;
10772917;2207258455;2218031372;10000;5127;44;225588;99;
9942894;2191158140;2201101034;10000;2567;88;225896;99;
12658938;2204714262;2217373200;10000;3318;68;225624;99;
8330650;2199933235;2208263885;10000;4177;54;225558;99;
13022394;2169613887;2182636281;10000;4178;54;225612;99;
8147342;2243946185;2252093527;10000;5652;40;226080;99;
12069507;2153158414;2165227921;10000;3231;70;226170;99;
10381412;2201421034;2211802446;10000;3230;70;226100;99;
13435627;2222858227;2236293854;10000;4345;52;225940;99;
12528568;2240439228;2252967796;10000;5127;44;225588;99;
11986545;2237147581;2249134126;10000;5368;42;225456;99;
12061210;2180069571;2192130781;10000;5128;44;225632;99;
9955536;2210438301;2220393837;10000;4696;48;225408;99;
13297356;2219676011;2232973367;10000;4344;52;225888;99;
9233759;2184051785;2193285544;10000;2570;88;226160;99;
13563232;2214386145;2227949377;10000;3761;60;225660;99;
10023882;2189120021;2199143903;10000;2757;82;226074;99;
12461012;2239048219;2251509231;10000;4349;52;226148;99;
11224471;2235282103;2246506574;10000;5366;42;225372;99;
13680170;2215196810;2228876980;10000;4526;50;226300;99;
13380319;2249214718;2262595037;10000;5935;38;225530;99;
12605999;2219033247;2231639246;10000;4176;54;225504;99;
10580522;2227254070;2237834592;10000;5122;44;225368;99;
8924426;2208313663;2217238089;10000;4697;48;225456;99;
14042837;2206922653;2220965490;10000;4041;56;226296;99;
9782104;2207820627;2217602731;10000;4040;56;226240;99;
12862395;2218509395;2231371790;10000;3319;68;225692;99;
11789804;2241641795;2253431599;10000;3638;62;225556;99;
10309906;2231042704;2241352610;10000;5369;42;225498;99;
13234937;2185765164;2199000101;10000;3760;60;225600;99;
8827637;2224523803;2233351440;10000;5369;42;225498;99;
13355826;2217582187;2230938013;10000;5128;44;225632;99;
11868421;2207781121;2219649542;10000;4177;54;225558;99;
14339527;2238092172;2252431699;10000;4527;50;226350;99;
13765899;2238186591;2251952490;10000;3134;72;225648;99;
10671386;2225258222;2235929608;10000;4525;50;226250;99;
13338443;2179232041;2192570484;10000;3319;68;225692;99;
9554945;2227477674;2237032619;10000;3639;62;225618;99;
14258540;2251372935;2265631475;10000;4699;48;225552;99;
10974003;2198115954;2209089957;10000;2824;80;225920;99;
13546245;2222721141;2236267386;10000;3640;62;225680;99;
13809355;2208377662;2222187017;10000;4345;52;225940;99;
9272476;2206728283;2216000759;10000;4180;54;225720;99;
25430468;2250376987;2275807455;10000;4345;52;225940;99;
14153453;2212340124;2226493577;10000;4175;54;225450;99;
12002742;2187664221;2199666963;10000;3540;64;226560;99;
11953754;2201974515;2213928269;10000;4043;56;226408;99;
7594652;2421147218;2428741870;10000;3762;60;225720;99;
13268912;2124919852;2138188764;10000;2569;88;226072;99;
9749314;2202604242;2212353556;10000;4178;54;225612;99;
13758392;2220427417;2234185809;10000;4181;54;225774;99;
11686298;2236456620;2248142918;10000;5128;44;225632;99;
8558600;2200833183;2209391783;10000;4177;54;225558;99;
13213604;2183598254;2196811858;10000;4699;48;225552;99;
10701016;2226034516;2236735532;10000;4344;52;225888;99;
12583482;2203362759;2215946241;10000;4178;54;225612;99;
10771732;2223412892;2234184624;10000;4348;52;226096;99;
11726199;2205540335;2217266534;10000;3429;66;226314;99;
11777162;2226297232;2238074394;10000;4040;56;226240;99;
7372232;2219028111;2226400343;10000;4178;54;225612;99;
12593753;2215304266;2227898019;10000;4698;48;225504;99;
10834152;2188362294;2199196446;10000;4700;48;225600;99;
11059731;2203233969;2214293700;10000;4179;54;225666;99;
13453011;2153242561;2166695572;10000;3759;60;225540;99;
7666553;2277313427;2284979980;10000;4699;48;225552;99;
12472865;2196583117;2209055982;10000;3639;62;225618;99;
11952174;2226081923;2238034097;10000;3895;58;225910;99;
8383983;2240739080;2249123063;10000;4041;56;226296;99;
13261801;2173425040;2186686841;10000;2305;98;225890;99;
15001649;2230805273;2245806922;10000;3896;58;225968;99;
12532519;2215807179;2228339698;10000;4696;48;225408;99;
13825948;2198647312;2212473260;10000;4699;48;225552;99;
8389119;2208335391;2216724510;10000;4697;48;225456;99;
11815088;2209372030;2221187118;10000;3541;64;226624;99;
13377553;2247905091;2261282644;10000;5126;44;225544;99;
8335391;2220759662;2229095053;10000;3639;62;225618;99;
13464862;2131539098;2145003960;10000;4040;56;226240;99;
8820921;2196027267;2204848188;10000;3897;58;226026;99;
17859125;2208130354;2225989479;10000;4044;56;226464;99;
10727485;2216409647;2227137132;10000;4346;52;225992;99;
9334895;2223551558;2232886453;10000;4178;54;225612;99;
11831286;2220340108;2232171394;10000;5371;42;225582;99;
12880962;2144108752;2156989714;10000;3231;70;226170;99;
10524028;2227035206;2237559234;10000;4699;48;225552;99;
14306737;2221246378;2235553115;10000;3896;58;225968;99;
12094000;2219301493;2231395493;10000;3229;70;226030;99;
14386935;2204658164;2219045099;10000;2823;80;225840;99;
14735774;2197893140;2212628914;10000;3759;60;225540;99;
13936566;2225904541;2239841107;10000;3317;68;225556;99;
11374199;2238064518;2249438717;10000;3638;62;225556;99;
13831084;2155336384;2169167468;10000;4348;52;226096;99;
10176375;2233227786;2243404161;10000;4042;56;226352;99;
13290640;2173935854;2187226494;10000;3540;64;226560;99;
12380815;2182866997;2195247812;10000;2690;84;225960;99;
11189312;2217955520;2229144832;10000;4697;48;225456;99;
14194145;2195308651;2209502796;10000;2758;82;226156;99;
9472771;2215854981;2225327752;10000;3761;60;225660;99;
12351976;2213194245;2225546221;10000;4701;48;225648;99;
8617464;2221166971;2229784435;10000;4935;46;227010;99;
12569654;2241973250;2254542904;10000;5368;42;225456;99;
8533316;2293875568;2302408884;10000;5930;38;225340;99;
13768665;2272575856;2286344521;10000;5124;44;225456;99;
18949098;2217085991;2236035089;10000;3761;60;225660;99;
10231683;2183466700;2193698383;10000;2982;76;226632;99;
11388817;2214771724;2226160541;10000;4525;50;226250;99;
9279192;2471496550;2480775742;10000;2690;84;225960;99;
13504368;2188574442;2202078810;10000;3229;70;226030;99;
9637907;2183366749;2193004656;10000;2900;78;226200;99;
12131136;2203187747;2215318883;10000;1853;122;226066;99;
13767084;2185479140;2199246224;10000;4177;54;225558;99;
7937564;2213391776;2221329340;10000;3135;72;225720;99;
13207677;2121644007;2134851684;10000;3761;60;225660;99;
7770454;2202938068;2210708522;10000;3761;60;225660;99;
13108122;2144184209;2157292331;10000;3541;64;226624;99;
12150495;2186528421;2198678916;10000;4528;50;226400;99;
13142492;2212722543;2225865035;10000;5368;42;225456;99;
13600368;2217081645;2230682013;10000;5127;44;225588;99;
10090647;2197275660;2207366307;10000;3757;60;225420;99;
12395037;2215993253;2228388290;10000;4697;48;225456;99;
11050645;2220086874;2231137519;10000;3897;58;226026;99;
13134196;2262008371;2275142567;10000;5123;44;225412;99;
13157505;2237819184;2250976689;10000;5368;42;225456;99;
9452624;2199634173;2209086797;10000;3762;60;225720;99;
11674446;2228541968;2240216414;10000;4180;54;225720;99;
10595535;2187819876;2198415411;10000;3229;70;226030;99;
12218445;2211435434;2223653879;10000;3893;58;225794;99;
10822695;2220933884;2231756579;10000;4698;48;225504;99;
13532813;2230658705;2244191518;10000;4526;50;226300;99;
13966985;2130453866;2144420851;10000;3761;60;225660;99;
10022696;2202899748;2212922444;10000;4177;54;225558;99;
12255581;2166865843;2179121424;10000;4697;48;225456;99;
10460424;2214579724;2225040148;10000;4699;48;225552;99;
13916812;2261388125;2275304937;10000;4344;52;225888;99;
13281950;2231992430;2245274380;10000;3051;74;225774;99;
9852425;2246735710;2256588135;10000;4699;48;225552;99;
11548422;2213663183;2225211605;10000;4179;54;225666;99;
10760276;2228861967;2239622243;10000;5368;42;225456;99;
12612321;2241505498;2254117819;10000;5128;44;225632;99;
14115923;2225479061;2239594984;10000;4698;48;225504;99;
11726594;2249578568;2261305162;10000;5653;40;226120;99;
10181905;2231029273;2241211178;10000;4178;54;225612;99;
11328768;2204466954;2215795722;10000;3760;60;225600;99;
13857158;2158371638;2172228796;10000;3762;60;225720;99;
10512177;2208050552;2218562729;10000;4176;54;225504;99;
12105458;2223696941;2235802399;10000;3639;62;225618;99;
12099532;2180694557;2192794089;10000;2215;102;225930;99;
8803538;2217465644;2226269182;10000;3541;64;226624;99;
14390490;2209372031;2223762521;10000;4525;50;226250;99;
9652524;2223575262;2233227786;10000;5123;44;225412;99;
13882837;2228042216;2241925053;10000;4346;52;225992;99;
13107727;2213070986;2226178713;10000;4180;54;225720;99;
13943281;2205901815;2219845096;10000;3229;70;226030;99;
16372905;2219960850;2236333755;10000;5128;44;225632;99;
7624282;2193701938;2201326220;10000;2689;84;225876;99;
13318690;2202623599;2215942289;10000;4700;48;225600;99;
13411134;2218872851;2232283985;10000;5370;42;225540;99;
13117604;2179188979;2192306583;10000;3541;64;226624;99;
11437014;2129268683;2140705697;10000;4179;54;225666;99;
9848080;2244984010;2254832090;10000;4347;52;226044;99;
12219235;2163148715;2175367950;10000;4697;48;225456;99;
9743388;1936885458;1946628846;10000;4177;54;225558;99;
7202356;1933320823;1940523179;10000;3427;66;226182;99;
10287783;1931632727;1941920510;10000;3051;74;225774;99;
7193665;1931831838;1939025503;10000;3134;72;225648;99;
9977660;1968842728;1978820388;10000;4934;46;226964;99;
9219932;1903398117;1912618049;10000;4177;54;225558;99;
7476923;1967001349;1974478272;10000;4344;52;225888;99;
10009660;1961301409;1971311069;10000;5370;42;225540;99;
10001758;1928013969;1938015727;10000;3429;66;226314;99;
7277418;1961148916;1968426334;10000;4936;46;227056;99;
9304475;1923236102;1932540577;10000;3323;68;225964;99;
7188529;1967791866;1974980395;10000;5124;44;225456;99;
9822005;2063761652;2073583657;10000;4342;52;225784;99;
9647783;1895197837;1904845620;10000;3760;60;225600;99;
7191295;1954642262;1961833557;10000;3640;62;225680;99;
10359288;1958326206;1968685494;10000;4347;52;226044;99;
9753265;1921519562;1931272827;10000;3542;64;226688;99;
7345763;1946018477;1953364240;10000;3134;72;225648;99;
11269903;1879138214;1890408117;10000;4700;48;225600;99;
9734697;1929474510;1939209207;10000;3901;58;226258;99;
7743589;1955544187;1963287776;10000;4936;46;227056;99;
9764327;1944968010;1954732337;10000;4935;46;227010;99;
9438401;1887279630;1896718031;10000;3641;62;225742;99;
14206392;1956632184;1970838576;10000;4936;46;227056;99;
