Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight (int); ContainerArea (int); Coverage (%);
8184478;2156029716;2164214194;10000;3896;58;225968;99;
10932917;2083414749;2094347666;10000;2407;94;226258;99;
8272181;2059884919;2068157100;10000;3232;70;226240;99;
10486103;2171308304;2181794407;10000;5125;44;225500;99;
8677909;2154879694;2163557603;10000;5651;40;226040;99;
11345360;2341015425;2352360785;10000;5369;42;225498;99;
17850039;2403545672;2421395711;10000;2757;82;226074;99;
11367484;2401014122;2412381606;10000;4528;50;226400;99;
8034749;2161417558;2169452307;10000;4345;52;225940;99;
11909508;2073693484;2085602992;10000;4347;52;226044;99;
8276921;2155590014;2163866935;10000;4698;48;225504;99;
10661905;2155900926;2166562831;10000;3637;62;225494;99;
9705067;2140857796;2150562863;10000;5655;40;226200;99;
9683734;2280306410;2289990144;10000;4179;54;225666;99;
12703580;2168352457;2181056037;10000;4345;52;225940;99;
11197213;2156883443;2168080656;10000;4346;52;225992;99;
10580917;2160592671;2171173588;10000;2629;86;226094;99;
10134103;2151156245;2161290348;10000;4176;54;225504;99;
10874843;2130510359;2141385202;10000;3053;74;225922;99;
8124824;2219537344;2227662168;10000;4936;46;227056;99;
10143585;2058545662;2068689247;10000;3542;64;226688;99;
7878701;2166905349;2174784050;10000;4178;54;225612;99;
11633360;2155164928;2166798288;10000;4347;52;226044;99;
8385564;2114619823;2123005387;10000;2508;90;225720;99;
10580127;2181511938;2192092065;10000;5652;40;226080;99;
7777170;2192621842;2200399012;10000;4700;48;225600;99;
10664276;2132226899;2142891175;10000;4526;50;226300;99;
8152873;2180178607;2188331480;10000;4698;48;225504;99;
13863479;2093305494;2107168973;10000;3643;62;225866;99;
8642353;2104403547;2113045900;10000;4698;48;225504;99;
10294498;2140668166;2150962664;10000;4041;56;226296;99;
10450152;2131928234;2142378386;10000;3133;72;225576;99;
12562938;2090304217;2102867155;10000;4176;54;225504;99;
8284429;2211960075;2220244504;10000;5930;38;225340;99;
10399585;2178030661;2188430246;10000;4343;52;225836;99;
12651431;2059097563;2071748994;10000;4179;54;225666;99;
10352177;1964782292;1975134469;10000;3319;68;225692;99;
10298844;1951870120;1962168964;10000;4937;46;227102;99;
7711985;1975661480;1983373465;10000;4696;48;225408;99;
11517212;1957224776;1968741988;10000;3543;64;226752;99;
7978651;1985068277;1993046928;10000;3639;62;225618;99;
11686693;1988002394;1999689087;10000;5932;38;225416;99;
8293515;1949744297;1958037812;10000;3319;68;225692;99;
10573806;1986984322;1997558128;10000;3639;62;225618;99;
10497164;1978043303;1988540467;10000;4527;50;226350;99;
11052226;1972952942;1984005168;10000;3898;58;226084;99;
10404720;1956104778;1966509498;10000;3136;72;225792;99;
8069910;1975488839;1983558749;10000;4178;54;225612;99;
9919980;1979890213;1989810193;10000;5123;44;225412;99;
9765907;1973724891;1983490798;10000;3430;66;226380;99;
8025663;1972517585;1980543248;10000;4699;48;225552;99;
10812028;1970831860;1981643888;10000;3640;62;225680;99;
9720474;1969752949;1979473423;10000;3896;58;225968;99;
7455195;1960811139;1968266334;10000;4347;52;226044;99;
10609362;1970050824;1980660186;10000;4179;54;225666;99;
8185268;1965537648;1973722916;10000;4701;48;225648;99;
10909608;1958027539;1968937147;10000;4177;54;225558;99;
7267541;1957943787;1965211328;10000;4176;54;225504;99;
10311881;2037430840;2047742721;10000;3228;70;225960;99;
8210947;1947885930;1956096877;10000;2982;76;226632;99;
10886300;1964042738;1974929038;10000;4525;50;226250;99;
9688475;2053390512;2063078987;10000;2822;80;225760;99;
10969262;1961625360;1972594622;10000;5127;44;225588;99;
11140719;1958791193;1969931912;10000;2512;90;226080;99;
12214099;2022733388;2034947487;10000;3430;66;226380;99;
10522448;1977149280;1987671728;10000;4528;50;226400;99;
10333609;1961044620;1971378229;10000;5366;42;225372;99;
7286505;1979263250;1986549755;10000;4345;52;225940;99;
10751584;1945792502;1956544086;10000;3319;68;225692;99;
9808573;1948694620;1958503193;10000;3761;60;225660;99;
7920182;1970897440;1978817622;10000;5370;42;225540;99;
10847584;1956577666;1967425250;10000;4698;48;225504;99;
9740228;1963549701;1973289929;10000;4701;48;225648;99;
8097169;1952735303;1960832472;10000;4700;48;225600;99;
10100523;1953603647;1963704170;10000;4176;54;225504;99;
7504182;1976826120;1984330302;10000;3429;66;226314;99;
10961756;1967562731;1978524487;10000;3896;58;225968;99;
7544084;1971612105;1979156189;10000;4529;50;226450;99;
10576966;1944181444;1954758410;10000;4700;48;225600;99;
7826553;1958007391;1965833944;10000;4178;54;225612;99;
10599486;1942102238;1952701724;10000;2689;84;225876;99;
7348923;2011350101;2018699024;10000;5127;44;225588;99;
10564325;1976645182;1987209507;10000;4347;52;226044;99;
7512084;1950789233;1958301317;10000;3427;66;226182;99;
10969658;1972905140;1983874798;10000;5367;42;225414;99;
10173610;1939404366;1949577976;10000;4042;56;226352;99;
11281755;1982413862;1993695617;10000;4178;54;225612;99;
10599090;1960879090;1971478180;10000;4346;52;225992;99;
10999682;2026424837;2037424519;10000;3895;58;225910;99;
10787535;2024805086;2035592621;10000;5125;44;225500;99;
11267929;1923848841;1935116770;10000;4698;48;225504;99;
7441368;1959093019;1966534387;10000;3638;62;225556;99;
11957704;1948730966;1960688670;10000;3429;66;226314;99;
7691047;1965526586;1973217633;10000;4697;48;225456;99;
10683238;1945591021;1956274259;10000;4040;56;226240;99;
7863293;1958387835;1966251128;10000;2821;80;225680;99;
10684423;1958293021;1968977444;10000;4178;54;225612;99;
7636528;1960798102;1968434630;10000;4175;54;225450;99;
10727880;1925133975;1935861855;10000;3136;72;225792;99;
7827343;1979120239;1986947582;10000;5370;42;225540;99;
10627535;1913194048;1923821583;10000;3896;58;225968;99;
7464677;1940015525;1947480202;10000;2760;82;226320;99;
11080670;1928657128;1939737798;10000;3541;64;226624;99;
7478899;2005737075;2013215974;10000;5123;44;225412;99;
10808867;1935095832;1945904699;10000;2980;76;226480;99;
7747935;1951464392;1959212327;10000;4176;54;225504;99;
10145560;1933184132;1943329692;10000;3430;66;226380;99;
7638899;1989682588;1997321487;10000;5127;44;225588;99;
10966892;1919521739;1930488631;10000;3760;60;225600;99;
7390405;1987948270;1995338675;10000;5125;44;225500;99;
10531534;1945504503;1956036037;10000;3761;60;225660;99;
7609268;1968126483;1975735751;10000;4932;46;226872;99;
10703781;1942257102;1952960883;10000;3320;68;225760;99;
7691442;1972200351;1979891793;10000;5124;44;225456;99;
12338938;1964077108;1976416046;10000;5125;44;225500;99;
10763830;1936778397;1947542227;10000;3318;68;225624;99;
11202743;1929730114;1940932857;10000;3760;60;225600;99;
10427634;1965520660;1975948294;10000;3895;58;225910;99;
7688676;1958598403;1966287079;10000;4527;50;226350;99;
27075897;1944849492;1971925389;10000;2758;82;226156;99;
9944869;1910281658;1920226527;10000;3639;62;225618;99;
7269516;1957088875;1964358391;10000;4179;54;225666;99;
7430306;1965148513;1972578819;10000;4527;50;226350;99;
8388724;1949495408;1957884132;10000;4701;48;225648;99;
9579833;1957167887;1966747720;10000;4179;54;225666;99;
9082451;1905061718;1914144169;10000;4701;48;225648;99;
7628232;1970192651;1977820883;10000;3898;58;226084;99;
10000968;1979724287;1989725255;10000;5125;44;225500;99;
9089563;1943695518;1952785081;10000;5652;40;226080;99;
7500232;1969661690;1977161922;10000;4347;52;226044;99;
10275141;1926511947;1936787088;10000;3228;70;225960;99;
8113762;1975394024;1983507786;10000;5127;44;225588;99;
9720475;1949483161;1959203636;10000;3762;60;225720;99;
7447689;1946380353;1953828042;10000;4043;56;226408;99;
10360078;1974671063;1985031141;10000;5124;44;225456;99;
7499837;1983851094;1991350931;10000;5370;42;225540;99;
10190597;1874813482;1885004079;10000;5125;44;225500;99;
7333911;1947319808;1954653719;10000;4176;54;225504;99;
9940129;1944874381;1954814510;10000;5126;44;225544;99;
8160379;1937634493;1945794872;10000;4178;54;225612;99;
10154646;1951154270;1961308916;10000;5124;44;225456;99;
7290060;1958675834;1965965894;10000;4934;46;226964;99;
10441066;1923701879;1934142945;10000;3895;58;225910;99;
7266751;1944730974;1951997725;10000;5370;42;225540;99;
10849164;1961691730;1972540894;10000;4699;48;225552;99;
9066649;1961239385;1970306034;10000;3318;68;225624;99;
10292523;1970231763;1980524286;10000;5124;44;225456;99;
7262011;1952672093;1959934104;10000;4040;56;226240;99;
10384967;1955726705;1966111672;10000;4699;48;225552;99;
7672083;1952848291;1960520374;10000;4697;48;225456;99;
10627535;1913311381;1923938916;10000;3430;66;226380;99;
10223782;1958222305;1968446087;10000;4701;48;225648;99;
10292918;1922775066;1933067984;10000;2571;88;226248;99;
9976869;1941284066;1951260935;10000;4177;54;225558;99;
10755930;1957026850;1967782780;10000;4700;48;225600;99;
10100918;1930790458;1940891376;10000;4179;54;225666;99;
8005911;1946870623;1954876534;10000;3542;64;226688;99;
10051535;1894746282;1904797817;10000;4042;56;226352;99;
7514059;2000668838;2008182897;10000;5126;44;225544;99;
10707732;1934316772;1945024504;10000;4699;48;225552;99;
7766899;1950286320;1958053219;10000;4525;50;226250;99;
10638597;1971010822;1981649419;10000;3640;62;225680;99;
10299634;1953033575;1963333209;10000;4178;54;225612;99;
9960672;1947991411;1957952083;10000;3639;62;225618;99;
9706252;1984154896;1993861148;10000;5933;38;225454;99;
7529861;1942190337;1949720198;10000;3543;64;226752;99;
10099733;1979682016;1989781749;10000;5122;44;225368;99;
9208871;1955999692;1965208563;10000;4934;46;226964;99;
7420035;1957006702;1964426737;10000;3761;60;225660;99;
10488078;1935599534;1946087612;10000;3135;72;225720;99;
9065859;1964549601;1973615460;10000;3542;64;226688;99;
10809657;1975682024;1986491681;10000;4346;52;225992;99;
10143585;1954498460;1964642045;10000;4699;48;225552;99;
7725022;2211373015;2219098037;10000;4695;48;225360;99;
10352572;2337971876;2348324448;10000;4177;54;225558;99;
8392675;2243256013;2251648688;10000;4525;50;226250;99;
10887090;1928108784;1938995874;10000;5126;44;225544;99;
7897663;1934265414;1942163077;10000;3318;68;225624;99;
10341906;1943006137;1953348043;10000;3638;62;225556;99;
8159194;1935863436;1944022630;10000;3638;62;225556;99;
10437511;1962409950;1972847461;10000;3639;62;225618;99;
7456775;1961476817;1968933592;10000;5126;44;225544;99;
10255387;1933114207;1943369594;10000;4700;48;225600;99;
7941120;1967886681;1975827801;10000;3899;58;226142;99;
10642152;1956188926;1966831078;10000;3321;68;225828;99;
10355733;1961398594;1971754327;10000;5654;40;226160;99;
9989907;1952929278;1962919185;10000;3892;58;225736;99;
10195338;1941649103;1951844441;10000;4697;48;225456;99;
10680473;1973383559;1984064032;10000;5125;44;225500;99;
9586154;1960252128;1969838282;10000;5371;42;225582;99;
10296474;1934297018;1944593492;10000;3427;66;226182;99;
7330356;1972143067;1979473423;10000;4935;46;227010;99;
10539831;1877461971;1888001802;10000;2688;84;225792;99;
7386060;1952393575;1959779635;10000;2823;80;225840;99;
11129262;1937301457;1948430719;10000;4348;52;226096;99;
7695787;1969680258;1977376045;10000;4700;48;225600;99;
10629115;1932421664;1943050779;10000;3428;66;226248;99;
7374208;1939653255;1947027463;10000;2260;100;226000;99;
9867437;1949336989;1959204426;10000;4177;54;225558;99;
7892528;1998104102;2005996630;10000;4347;52;226044;99;
10274746;1964696168;1974970914;10000;3638;62;225556;99;
9364920;1969994726;1979359646;10000;4531;50;226550;99;
7491540;1983473021;1990964561;10000;3050;74;225700;99;
9948820;1989643477;1999592297;10000;5934;38;225492;99;
8234255;1975398370;1983632625;10000;4934;46;226964;99;
10572621;1958728773;1969301394;10000;3897;58;226026;99;
