Results for Algorithm (1000 tests) :
ReadingRuntime (ns); SolverRuntime (ns); TotalRuntime (ns); NumberOfRectangles; ContainerWidth (int); ContainerHeight int); ContainerArea (int); Coverage (%);
8780624;2215077106;2223857730;10000;509;450;229050;98;
11740422;2064906538;2076646960;10000;510;450;229500;98;
11207089;2100044049;2111251138;10000;510;450;229500;98;
9074550;2026508984;2035583534;10000;510;450;229500;98;
10713262;2049416594;2060129856;10000;508;450;228600;98;
10582102;2053232883;2063814985;10000;513;450;230850;97;
8072281;2083189564;2091261845;10000;510;450;229500;98;
11189312;2041483770;2052673082;10000;509;450;229050;98;
11237904;2034158549;2045396453;10000;509;450;229050;98;
8183688;2040583031;2048766719;10000;509;450;229050;98;
11577656;2105866458;2117444114;10000;511;450;229950;97;
12064767;2128023450;2140088217;10000;511;450;229950;97;
8586650;2111332126;2119918776;10000;509;450;229050;98;
10827040;2052785673;2063612713;10000;510;450;229500;98;
11692619;2098294719;2109987338;10000;510;450;229500;98;
8765217;2177878562;2186643779;10000;509;450;229050;98;
11517607;2170343960;2181861567;10000;512;450;230400;97;
11767681;2141135524;2152903205;10000;510;450;229500;98;
8725711;2088494838;2097220549;10000;515;450;231750;97;
11429113;2152851451;2164280564;10000;509;450;229050;98;
10949509;2135545016;2146494525;10000;509;450;229050;98;
8856872;2160161263;2169018135;10000;513;450;230850;97;
10693115;2158825563;2169518678;10000;510;450;229500;98;
10069709;2172950572;2183020281;10000;507;450;228150;98;
12405308;2119845295;2132250603;10000;511;450;229950;97;
12764419;2124378619;2137143038;10000;512;450;230400;97;
10565905;2182481813;2193047718;10000;512;450;230400;97;
10352572;2185588176;2195940748;10000;510;450;229500;98;
14226935;2149385186;2163612121;10000;509;450;229050;98;
10421708;2153069130;2163490838;10000;508;450;228600;98;
11377755;2264970538;2276348293;10000;513;450;230850;97;
14242737;2211992866;2226235603;10000;507;450;228150;98;
7531046;2158777761;2166308807;10000;509;450;229050;98;
10655189;2119020802;2129675991;10000;511;450;229950;97;
8776674;2232985614;2241762288;10000;512;450;230400;97;
10950695;2044087617;2055038312;10000;512;450;230400;97;
7553960;2155584483;2163138443;10000;509;450;229050;98;
10757510;2066868806;2077626316;10000;510;450;229500;98;
8302206;2093936407;2102238613;10000;510;450;229500;98;
10829411;2102458662;2113288073;10000;509;450;229050;98;
8427835;2095662824;2104090659;10000;510;450;229500;98;
11668915;2045603070;2057271985;10000;512;450;230400;97;
8017367;2114841452;2122858819;10000;511;450;229950;97;
12143383;2075841431;2087984814;10000;511;450;229950;97;
8418354;2036820865;2045239219;10000;509;450;229050;98;
10331239;2047721782;2058053021;10000;509;450;229050;98;
8301416;2041810090;2050111506;10000;510;450;229500;98;
12521852;2043802383;2056324235;10000;512;450;230400;97;
7772824;2092567521;2100340345;10000;512;450;230400;97;
10842448;2015608858;2026451306;10000;511;450;229950;97;
7516034;2080603495;2088119529;10000;510;450;229500;98;
11906742;2014631478;2026538220;10000;511;450;229950;97;
8820131;2140640512;2149460643;10000;511;450;229950;97;
11471780;2161929161;2173400941;10000;509;450;229050;98;
8329070;2144366332;2152695402;10000;511;450;229950;97;
12711481;2098584299;2111295780;10000;511;450;229950;97;
8707538;2027991254;2036698792;10000;510;450;229500;98;
12425457;1965471673;1977897130;10000;511;450;229950;97;
8599687;2075999455;2084599142;10000;510;450;229500;98;
10775682;1999681581;2010457263;10000;509;450;229050;98;
10217856;2018385742;2028603598;10000;510;450;229500;98;
11625853;2073974768;2085600621;10000;510;450;229500;98;
11436620;2043574827;2055011447;10000;510;450;229500;98;
10826250;2020312059;2031138309;10000;510;450;229500;98;
10703781;2109168772;2119872553;10000;509;450;229050;98;
11437805;2126231059;2137668864;10000;508;450;228600;98;
10302004;2136839631;2147141635;10000;510;450;229500;98;
11755038;2048396942;2060151980;10000;508;450;228600;98;
7994058;2062559482;2070553540;10000;508;450;228600;98;
7757812;2032255936;2040013748;10000;511;450;229950;97;
10416177;2049684050;2060100227;10000;510;450;229500;98;
8255983;2049759112;2058015095;10000;510;450;229500;98;
11890544;2125105926;2136996470;10000;508;450;228600;98;
10268819;2089192910;2099461729;10000;511;450;229950;97;
7954947;2083639934;2091594881;10000;512;450;230400;97;
10652424;1996535315;2007187739;10000;510;450;229500;98;
8764822;2079084486;2087849308;10000;512;450;230400;97;
11833655;2138597257;2150430912;10000;510;450;229500;98;
8789316;2097193290;2105982606;10000;511;450;229950;97;
11413311;2053822708;2065236019;10000;508;450;228600;98;
8649859;2094390727;2103040586;10000;509;450;229050;98;
11528669;2101964440;2113493109;10000;511;450;229950;97;
8468921;2096447020;2104915941;10000;510;450;229500;98;
11664175;2023693780;2035357955;10000;510;450;229500;98;
7961663;2076587306;2084548969;10000;510;450;229500;98;
11035632;2069500308;2080535940;10000;511;450;229950;97;
